OBJECTID,Survey By,Date Audited,Type of Crosswalk,Width of Crosswalk,Cross Slope of Crosswalk,Crosswalk Paint Condition,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Asset ID,x,y
74,CW,7/4/2023 7:07:13 PM,L,8,<= 2%,G,24dc57e5-8b3a-44a5-ae34-c93dc2b1d3a1,ENORTON,7/11/2023 5:30:19 PM,ENORTON,7/25/2024 12:33:36 PM,CRW-00941,1727843.24334647,667140.174309731
75,CW,5/25/2023 6:30:08 PM,T,12,2% - 5%,P,4cdc2fd3-5d8c-40ba-88ad-3de6509d66d8,ENORTON,5/30/2023 5:31:38 PM,ENORTON,7/24/2024 8:23:08 PM,CRW-00130,1740467.30438438,662938.318868309
76,SD,11/20/2023 5:48:03 PM,L,9,<= 2%,F,fb804403-6ef6-48c8-8ec0-69aad2cc642c,ENORTON,11/27/2023 3:59:39 PM,ENORTON,7/11/2024 2:13:14 PM,CRW-01984,1741495.70882364,672785.630538478
77,KB,9/1/2023 12:21:21 PM,L,10,2% - 5%,P,b98955fb-c2f1-4dce-b246-66b177a3d139,ENORTON,9/6/2023 4:10:45 PM,ENORTON,7/15/2024 1:50:22 PM,CRW-01672,1731906.58955047,677942.999160722
78,RL,7/13/2023 2:30:28 PM,L,10,2% - 5%,G,8734f7e2-154f-4180-8dfc-9d6dc2bb2db5,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:51:39 PM,CRW-01073,1735536.25420713,656599.231808975
79,CW,5/25/2023 5:27:21 PM,L,8,2% - 5%,F,26ea5cd0-527e-49d5-a3b1-43360c617980,ENORTON,5/30/2023 5:31:38 PM,ENORTON,7/25/2024 3:19:15 PM,CRW-00099,1740214.10639997,665467.01459831
80,CW,5/30/2023 4:37:12 PM,L,10,2% - 5%,P,3654d7a0-5f57-4aa9-a11f-7c600fef0222,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00258,1738923.79106723,667394.926424891
81,RM,4/13/2023 4:49:10 PM,L,10,2% - 5%,G,20088702-3dfb-4be1-aa16-f2fb2f59f7a2,VDR-JOMARTIN,5/1/2023 5:59:48 PM,ENORTON,7/25/2024 3:32:24 PM,CRW-00007,1743799.5454233,676057.733902395
82,CW,7/10/2023 8:02:46 PM,L,10,<= 2%,G,839ea62e-eb4c-4ea5-9da3-3d4dba516e8a,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:59:06 PM,CRW-01009,1729706.01619571,668005.386490062
83,JoS,7/19/2023 8:00:03 PM,L,10,2% - 5%,G,a69f61fb-d667-45ff-92e5-5c18ad9653f3,ENORTON,7/24/2023 3:48:55 PM,ENORTON,7/16/2024 4:47:32 PM,CRW-01113,1728141.69156846,660737.264215305
84,RL,6/13/2023 6:24:00 PM,L,10,<= 2%,F,89c9589a-05e9-4c37-a8ac-f3e0c99ef0d2,ENORTON,6/22/2023 1:53:20 PM,ENORTON,7/25/2024 1:51:08 PM,CRW-00411,1734569.29419881,671395.079841897
85,LW,8/22/2023 2:23:06 PM,L,10,2% - 5%,G,92a8665a-6b43-4425-ad98-52a17f3ede11,ENORTON,8/28/2023 5:37:19 PM,ENORTON,7/15/2024 2:38:04 PM,CRW-01572,1741289.0661923,659819.705026805
86,CW,6/23/2023 8:16:25 PM,L,10,2% - 5%,G,1558e772-ddae-41ae-8e30-63856b0f1744,ENORTON,6/28/2023 3:39:38 PM,ENORTON,7/17/2024 1:35:49 PM,CRW-00612,1735972.21298088,663734.603036895
87,CW,7/24/2023 3:54:03 PM,L,10,2% - 5%,G,6dbb52d9-c52c-41c5-add8-ef7105fd1dd4,ENORTON,8/1/2023 6:23:49 PM,ENORTON,8/1/2023 6:23:49 PM,CRW-01146,1730282.02094921,669747.026379481
88,KB,6/29/2023 2:23:05 PM,L,10,<= 2%,P,674c346d-8de4-40da-8e02-c20f9be7450a,ENORTON,7/7/2023 6:35:14 PM,ENORTON,7/25/2024 12:41:24 PM,CRW-00880,1735228.46971773,652773.717478395
89,KB,7/5/2023 12:36:02 PM,L,10,<= 2%,G,c5c1ab6f-8cee-4380-ab67-4690b5ff71dd,ENORTON,7/11/2023 5:30:19 PM,ENORTON,7/25/2024 12:33:36 PM,CRW-00950,1735070.4329603,651918.216236651
90,KB,7/12/2023 3:03:26 PM,L,10,<= 2%,G,a8df9936-304d-4cb0-843f-40c3783470be,ENORTON,7/17/2023 4:49:20 PM,ENORTON,8/9/2023 3:00:01 PM,CRW-01057,1735538.8414723,656451.664518803
91,MM,7/12/2023 12:08:23 PM,L,10,2% - 5%,G,7091df2e-f6c5-48e5-9d63-e9b9f0ce79c3,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:56:47 PM,CRW-01040,1730621.59868214,653308.104204893
92,LW,8/18/2023 1:00:16 PM,L,10,<= 2%,P,353916be-7b69-4dc4-8bb4-c0e66aadd1cd,ENORTON,8/21/2023 4:38:46 PM,ENORTON,7/11/2024 6:42:39 PM,CRW-01524,1743857.2677488,662466.43464148
93,,,L,10,,P,8d541dfc-013d-474c-b76a-d32a4a46e0f8,ENORTON,7/25/2024 3:32:24 PM,ENORTON,7/25/2024 3:32:24 PM,CRW-02292,1743826.4193853,676075.601648808
94,JE,6/19/2023 4:05:25 PM,L,10,2% - 5%,P,115eae30-8cfc-4e8b-b493-b8daa3721c59,ENORTON,6/28/2023 3:39:38 PM,ENORTON,6/28/2023 3:39:38 PM,CRW-00504,1736935.93743138,666299.298694894
95,KB,7/28/2023 1:58:32 PM,L,10,2% - 5%,G,a06921de-4c3c-4785-ac2f-ee0af6100d2b,ENORTON,8/1/2023 6:23:49 PM,ENORTON,7/16/2024 4:27:35 PM,CRW-01196,1733844.79400739,657523.287047476
96,KB,7/31/2023 5:39:19 PM,L,10,<= 2%,G,e05279ef-ac9a-4afc-b2a1-f636fda53070,ENORTON,8/8/2023 12:17:10 PM,ENORTON,7/16/2024 4:27:35 PM,CRW-01204,1732373.58500755,656971.271747306
97,AD,7/13/2023 3:52:41 PM,L,10,<= 2%,G,e394f854-47b7-4ba8-89a0-dea2dce61854,ENORTON,7/17/2023 4:49:20 PM,ENORTON,7/16/2024 4:51:39 PM,CRW-01085,1736954.13621388,656665.191650808
98,CW,5/25/2023 5:25:26 PM,L,10,2% - 5%,F,f1e42f88-ed47-4ad6-8e67-2d803b816744,ENORTON,5/30/2023 5:31:38 PM,ENORTON,7/25/2024 3:19:15 PM,CRW-00098,1740186.65993255,665473.888600305
99,LW,8/9/2023 1:48:21 PM,L,10,<= 2%,G,9dc108df-0a29-44d4-b598-eaa33128268d,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/16/2024 3:44:11 PM,CRW-01361,1734676.58761939,662239.90851973
100,JS,6/2/2023 2:04:05 PM,L,10,2% - 5%,P,c3bc1a07-ca28-4f3d-9bff-28d1a0d17275,ENORTON,6/5/2023 11:20:39 PM,ENORTON,7/25/2024 2:25:53 PM,CRW-00274,1737667.16070648,665450.029396057
101,SD,12/7/2023 4:07:07 PM,L,9,2% - 5%,P,c4147721-5244-4744-8ec9-504524d36db9,ENORTON,12/11/2023 6:52:58 PM,ENORTON,7/15/2024 1:05:51 PM,CRW-02040,1746886.70722798,669860.145575806
102,KB,9/1/2023 12:17:38 PM,L,10,<= 2%,P,c674a4f3-2e64-4cee-bb84-2d916013c28b,ENORTON,9/6/2023 4:10:45 PM,ENORTON,9/6/2023 4:10:45 PM,CRW-01671,1731957.79417247,677875.823770151
103,JoS,8/9/2023 2:48:01 PM,L,8,2% - 5%,F,2d9b077f-6d8f-4a6c-b13c-383e41a253c0,ENORTON,8/14/2023 6:03:25 PM,ENORTON,7/16/2024 3:44:11 PM,CRW-01363,1730910.25460088,659536.778755397
104,JSw,8/2/2023 6:44:08 PM,T,12,<= 2%,G,084e9fbb-0349-47c0-84b2-065e6a261543,ENORTON,8/8/2023 12:17:10 PM,ENORTON,7/16/2024 4:20:00 PM,CRW-01266,1726840.99535097,663220.679524064
105,CW,8/2/2023 7:38:19 PM,T,10,<= 2%,G,39b08ef6-8f8b-4464-aaaa-3c7fec9278ec,ENORTON,8/8/2023 12:17:10 PM,ENORTON,8/8/2023 12:17:10 PM,CRW-01271,1726358.0448733,663012.921409398
106,CW,7/26/2023 2:06:06 PM,L,5,2% - 5%,G,090116b7-8b8f-475c-ad77-36c7f7af2dbc,ENORTON,8/1/2023 6:23:49 PM,ENORTON,7/16/2024 4:41:23 PM,CRW-01168,1730825.98770906,665604.561239228
107,JoS,8/22/2023 5:34:11 PM,L,6,2% - 5%,P,c9a14296-d63a-49a9-ad25-98cf8adac6e0,ENORTON,8/28/2023 5:37:19 PM,ENORTON,8/28/2023 5:37:19 PM,CRW-01580,1733859.24181314,661713.783259645
